14.0K Nb4Ta_D1_1.01mm_210C_48h_410C_50h_670C_48h 11-14-2019
5:06 PM, Thursday, November 14, 2019
File Description: l=4.75mm;d=1.01mm
Vibration Amplitude [mm]: 1.500
Calibrated at 1.5mm; Data apporpriately scaled for reduced amplitude
Vibration Frequency [Hz]: 55.00
Helium Level [%]: 93.6
Center [mm]: 14.26
Operator Name: Nawaraj

Time [ms]	Field [T]	Moment [emu]	Temp [K]	dMoment [emu]	Kramer
42.00000000	-1.99840000	0.00592053	13.98400000	-0.00020873	0.01717754
542.00000000	-1.99340000	0.00585945	13.98400000	-0.00011451	0.01271511
1043.00000000	-1.98850000	0.00547285	13.98400000	0.00029831	0.02050995
1544.00000000	-1.98340000	0.00382507	13.98400000	0.00197381	0.05272358
2044.00000000	-1.97840000	0.00132419	13.98400000	0.00450259	0.07958103
2544.00000000	-1.97340000	-0.00109011	13.98400000	0.00694876	0.09880011
3045.00000000	-1.96830000	-0.00290877	13.98400000	0.00879969	0.11111088
3546.00000000	-1.96340000	-0.00406906	13.98300000	0.00998718	0.11829696
4046.00000000	-1.95840000	-0.00482374	13.98300000	0.01077285	0.12278370
4546.00000000	-1.95340000	-0.00529902	13.98300000	0.01127865	0.12555277
5046.00000000	-1.94830000	-0.00560085	13.98300000	0.01159957	0.12724330
5546.00000000	-1.94340000	-0.00580617	13.98300000	0.01182827	0.12841070
6046.00000000	-1.93840000	-0.00596666	13.98200000	0.01202071	0.12936772
6546.00000000	-1.93340000	-0.00609401	13.98200000	0.01218037	0.13013998
7046.00000000	-1.92850000	-0.00619017	13.98200000	0.01230485	0.13072031
7546.00000000	-1.92340000	-0.00626100	13.98200000	0.01240424	0.13116035
8047.00000000	-1.91840000	-0.00631882	13.98200000	0.01248849	0.13151936
8548.00000000	-1.91340000	-0.00636495	13.98200000	0.01256206	0.13182016
9048.00000000	-1.90830000	-0.00639484	13.98200000	0.01262002	0.13203579
9548.00000000	-1.90340000	-0.00642473	13.98200000	0.01268100	0.13226939
10048.00000000	-1.89840000	-0.00644942	13.98200000	0.01273443	0.13246057
10549.00000000	-1.89340000	-0.00647281	13.98300000	0.01279150	0.13266956
11049.00000000	-1.88830000	-0.00649880	13.98300000	0.01285787	0.13292364
11549.00000000	-1.88340000	-0.00652869	13.98300000	0.01290908	0.13310159
12050.00000000	-1.87840000	-0.00654623	13.98300000	0.01294392	0.13319256
12552.00000000	-1.87330000	-0.00656053	13.98300000	0.01298734	0.13332513
13053.00000000	-1.86830000	-0.00657222	13.98300000	0.01303636	0.13348726
13554.00000000	-1.86340000	-0.00659172	13.98400000	0.01308585	0.13365262
14054.00000000	-1.85820000	-0.00661186	13.98400000	0.01313859	0.13382816
14554.00000000	-1.85330000	-0.00663200	13.98400000	0.01318804	0.13399127
15054.00000000	-1.84830000	-0.00665019	13.98500000	0.01323353	0.13413158
15554.00000000	-1.84340000	-0.00667488	13.98600000	0.01328869	0.13432163
16054.00000000	-1.83820000	-0.00669502	13.98700000	0.01334623	0.13451711
16555.00000000	-1.83330000	-0.00671711	13.98800000	0.01340109	0.13470336
17055.00000000	-1.82830000	-0.00674376	13.98800000	0.01345724	0.13489313
17555.00000000	-1.82340000	-0.00676649	13.98900000	0.01351282	0.13508074
18055.00000000	-1.81820000	-0.00678923	13.99000000	0.01357312	0.13528521
18556.00000000	-1.81330000	-0.00681328	13.99100000	0.01362932	0.13547356
19056.00000000	-1.80830000	-0.00683277	13.99100000	0.01368014	0.13563222
19556.00000000	-1.80340000	-0.00684708	13.99200000	0.01372839	0.13577907
20056.00000000	-1.79820000	-0.00687045	13.99300000	0.01378899	0.13598019
20556.00000000	-1.79330000	-0.00689777	13.99300000	0.01385172	0.13619625
21057.00000000	-1.78830000	-0.00691984	13.99400000	0.01390627	0.13636894
21558.00000000	-1.78330000	-0.00694260	13.99500000	0.01396021	0.13653756
22058.00000000	-1.77820000	-0.00696140	13.99500000	0.01400922	0.13667913
22559.00000000	-1.77330000	-0.00698933	13.99600000	0.01407226	0.13689183
23059.00000000	-1.76830000	-0.00701856	13.99700000	0.01413970	0.13712262
23560.00000000	-1.76320000	-0.00704588	13.99700000	0.01420409	0.13733530
24061.00000000	-1.75820000	-0.00707511	13.99800000	0.01426395	0.13752669
24561.00000000	-1.75330000	-0.00710046	13.99800000	0.01432094	0.13770504
25061.00000000	-1.74830000	-0.00712519	13.99800000	0.01438128	0.13789636
25561.00000000	-1.74320000	-0.00715046	13.99900000	0.01444524	0.13810174
26061.00000000	-1.73820000	-0.00718296	13.99900000	0.01451447	0.13833289
26561.00000000	-1.73330000	-0.00721417	14.00000000	0.01457696	0.13853258
27061.00000000	-1.72810000	-0.00724339	14.00000000	0.01463950	0.13872521
27561.00000000	-1.72320000	-0.00727330	14.00000000	0.01470430	0.13893321
28061.00000000	-1.71820000	-0.00731166	14.00100000	0.01477796	0.13917962
28561.00000000	-1.71330000	-0.00734150	14.00100000	0.01484312	0.13938659
29061.00000000	-1.70830000	-0.00736623	14.00100000	0.01490679	0.13958320
29561.00000000	-1.70320000	-0.00739287	14.00100000	0.01497387	0.13979235
30061.00000000	-1.69820000	-0.00742598	14.00200000	0.01504653	0.14002817
30561.00000000	-1.69330000	-0.00745589	14.00200000	0.01510897	0.14021708
31061.00000000	-1.68830000	-0.00748642	14.00200000	0.01517558	0.14042195
31561.00000000	-1.68330000	-0.00751176	14.00300000	0.01523961	0.14061361
32061.00000000	-1.67820000	-0.00753901	14.00300000	0.01530311	0.14079939
32562.00000000	-1.67330000	-0.00757090	14.00300000	0.01536725	0.14099105
33063.00000000	-1.66830000	-0.00760728	14.00300000	0.01543857	0.14121214
33563.00000000	-1.66320000	-0.00764237	14.00400000	0.01551163	0.14143761
34063.00000000	-1.65820000	-0.00767677	14.00400000	0.01558465	0.14166344
34563.00000000	-1.65330000	-0.00770668	14.00400000	0.01564890	0.14185015
35064.00000000	-1.64810000	-0.00774109	14.00400000	0.01571638	0.14204377
35564.00000000	-1.64320000	-0.00776970	14.00400000	0.01577754	0.14221398
36064.00000000	-1.63820000	-0.00779832	14.00400000	0.01583946	0.14238422
36565.00000000	-1.63330000	-0.00782687	14.00400000	0.01590144	0.14255573
37065.00000000	-1.62810000	-0.00785419	14.00400000	0.01596617	0.14273177
37565.00000000	-1.62320000	-0.00788859	14.00400000	0.01603323	0.14292344
38065.00000000	-1.61820000	-0.00792695	14.00500000	0.01610108	0.14311515
38565.00000000	-1.61330000	-0.00796790	14.00500000	0.01617296	0.14332551
39065.00000000	-1.60810000	-0.00800816	14.00500000	0.01625112	0.14355551
39565.00000000	-1.60320000	-0.00804972	14.00500000	0.01632511	0.14377222
40065.00000000	-1.59820000	-0.00808420	14.00600000	0.01639190	0.14395359
40565.00000000	-1.59330000	-0.00812249	14.00600000	0.01646491	0.14416308
41065.00000000	-1.58830000	-0.00816602	14.00700000	0.01654486	0.14439917
41566.00000000	-1.58320000	-0.00820567	14.00700000	0.01662300	0.14462341
42066.00000000	-1.57820000	-0.00824144	14.00800000	0.01669666	0.14482894
42566.00000000	-1.57330000	-0.00827585	14.00800000	0.01676848	0.14502729
43066.00000000	-1.56830000	-0.00831291	14.00800000	0.01684349	0.14523566
43567.00000000	-1.56320000	-0.00834800	14.00800000	0.01691545	0.14542711
44067.00000000	-1.55820000	-0.00837784	14.00800000	0.01698300	0.14560056
44567.00000000	-1.55310000	-0.00840387	14.00800000	0.01705120	0.14577310
45068.00000000	-1.54810000	-0.00843507	14.00800000	0.01712635	0.14597624
45568.00000000	-1.54320000	-0.00846559	14.00800000	0.01719207	0.14614020
46068.00000000	-1.53820000	-0.00849550	14.00800000	0.01726409	0.14632721
46568.00000000	-1.53310000	-0.00852991	14.00800000	0.01733923	0.14652358
47069.00000000	-1.52810000	-0.00856629	14.00800000	0.01741635	0.14672920
47569.00000000	-1.52320000	-0.00859681	14.00800000	0.01748807	0.14691299
48069.00000000	-1.51820000	-0.00862870	14.00800000	0.01756525	0.14711585
48569.00000000	-1.51310000	-0.00865922	14.00800000	0.01763831	0.14729752
49069.00000000	-1.50810000	-0.00869622	14.00800000	0.01771833	0.14750914
49570.00000000	-1.50320000	-0.00873975	14.00800000	0.01780082	0.14773189
50071.00000000	-1.49820000	-0.00878329	14.00900000	0.01789219	0.14798720
50571.00000000	-1.49310000	-0.00883139	14.00900000	0.01798856	0.14825880
51071.00000000	-1.48810000	-0.00887881	14.00900000	0.01808486	0.14853047
51571.00000000	-1.48320000	-0.00892302	14.00900000	0.01817945	0.14879568
52071.00000000	-1.47820000	-0.00896458	14.00900000	0.01826838	0.14903329
52571.00000000	-1.47310000	-0.00901330	14.00900000	0.01836357	0.14929203
53071.00000000	-1.46810000	-0.00906269	14.00900000	0.01845726	0.14954521
53571.00000000	-1.46320000	-0.00910950	14.00900000	0.01855212	0.14980377
54071.00000000	-1.45820000	-0.00915562	14.00900000	0.01865068	0.15007267
54571.00000000	-1.45310000	-0.00920304	14.00900000	0.01874681	0.15032719
55071.00000000	-1.44810000	-0.00925114	14.00900000	0.01884033	0.15057187
55572.00000000	-1.44320000	-0.00929399	14.00900000	0.01893059	0.15080428
56072.00000000	-1.43820000	-0.00933753	14.00900000	0.01902426	0.15104583
56572.00000000	-1.43310000	-0.00939537	14.00900000	0.01913119	0.15133525
57072.00000000	-1.42810000	-0.00944606	14.00900000	0.01922508	0.15157366
57572.00000000	-1.42320000	-0.00949280	14.00900000	0.01931508	0.15179753
58072.00000000	-1.41820000	-0.00953831	14.00900000	0.01940805	0.15202861
58572.00000000	-1.41310000	-0.00958512	14.00900000	0.01950399	0.15226669
59072.00000000	-1.40810000	-0.00963642	14.00900000	0.01959817	0.15249871
59573.00000000	-1.40320000	-0.00968193	14.00900000	0.01968922	0.15271937
60073.00000000	-1.39810000	-0.00972608	14.00900000	0.01978011	0.15293219
60573.00000000	-1.39310000	-0.00977677	14.00900000	0.01987900	0.15317676
61073.00000000	-1.38810000	-0.00983202	14.00900000	0.01999539	0.15348647
61573.00000000	-1.38320000	-0.00988530	14.00900000	0.02011043	0.15379135
62074.00000000	-1.37810000	-0.00993531	14.00900000	0.02021497	0.15404824
62575.00000000	-1.37310000	-0.00998661	14.00900000	0.02031706	0.15429647
63075.00000000	-1.36810000	-0.01003669	14.00900000	0.02040706	0.15449685
63575.00000000	-1.36320000	-0.01008799	14.00800000	0.02049882	0.15470498
64075.00000000	-1.35810000	-0.01014325	14.00800000	0.02060252	0.15495053
64575.00000000	-1.35310000	-0.01019584	14.00800000	0.02070665	0.15519847
65075.00000000	-1.34810000	-0.01023222	14.00800000	0.02079208	0.15537440
65576.00000000	-1.34320000	-0.01029266	14.00800000	0.02089580	0.15561973
66077.00000000	-1.33810000	-0.01035050	14.00700000	0.02100010	0.15585932
66577.00000000	-1.33310000	-0.01040248	14.00700000	0.02110205	0.15609105
67077.00000000	-1.32810000	-0.01045188	14.00700000	0.02120417	0.15632135
67577.00000000	-1.32320000	-0.01050775	14.00700000	0.02131225	0.15657448
68078.00000000	-1.31800000	-0.01056688	14.00600000	0.02142558	0.15683578
68579.00000000	-1.31310000	-0.01061948	14.00600000	0.02153223	0.15707932
69080.00000000	-1.30810000	-0.01066956	14.00500000	0.02163822	0.15731531
69581.00000000	-1.30300000	-0.01071507	14.00500000	0.02173567	0.15751524
70081.00000000	-1.29800000	-0.01076637	14.00500000	0.02183406	0.15771969
70581.00000000	-1.29310000	-0.01082033	14.00400000	0.02193236	0.15792494
71081.00000000	-1.28810000	-0.01087681	14.00400000	0.02203685	0.15814742
71581.00000000	-1.28300000	-0.01093138	14.00300000	0.02214577	0.15838061
72081.00000000	-1.27800000	-0.01098732	14.00300000	0.02225199	0.15860510
72582.00000000	-1.27310000	-0.01103923	14.00200000	0.02235368	0.15881450
73082.00000000	-1.26800000	-0.01108604	14.00200000	0.02245914	0.15902902
73582.00000000	-1.26300000	-0.01113673	14.00200000	0.02257062	0.15926582
74082.00000000	-1.25800000	-0.01119130	14.00200000	0.02268037	0.15949432
74582.00000000	-1.25310000	-0.01124587	14.00200000	0.02278429	0.15970339
75083.00000000	-1.24810000	-0.01130045	14.00100000	0.02289191	0.15992023
75583.00000000	-1.24300000	-0.01135897	14.00100000	0.02301115	0.16017214
76083.00000000	-1.23800000	-0.01141613	14.00100000	0.02312829	0.16041756
76583.00000000	-1.23310000	-0.01146682	14.00000000	0.02323577	0.16063054
77083.00000000	-1.22810000	-0.01152010	14.00000000	0.02334814	0.16085502
77583.00000000	-1.22300000	-0.01158115	14.00000000	0.02346809	0.16109999
78083.00000000	-1.21800000	-0.01163572	14.00000000	0.02358280	0.16132790
78583.00000000	-1.21310000	-0.01169159	14.00000000	0.02370155	0.16157066
79083.00000000	-1.20810000	-0.01174882	14.00000000	0.02382671	0.16182952
79583.00000000	-1.20300000	-0.01181116	14.00000000	0.02395832	0.16210431
80083.00000000	-1.19800000	-0.01186961	14.00000000	0.02408134	0.16235085
80583.00000000	-1.19310000	-0.01192555	14.00000000	0.02419870	0.16257931
81083.00000000	-1.18810000	-0.01198271	14.00000000	0.02431920	0.16281255
81583.00000000	-1.18300000	-0.01204505	14.00000000	0.02444848	0.16306925
82083.00000000	-1.17800000	-0.01210875	14.00000000	0.02457546	0.16331917
82583.00000000	-1.17310000	-0.01216721	14.00000000	0.02469892	0.16355836
83083.00000000	-1.16800000	-0.01221531	14.00000000	0.02482002	0.16378033
