4.2K Nb4Ta_D1_1.01mm_210C_48h_410C_50h_670C_48h 11-14-2019
11:27 AM, Thursday, November 14, 2019
File Description: l=4.75mm;d=1.1mm
Vibration Amplitude [mm]: 1.500
Calibrated at 1.5mm; Data apporpriately scaled for reduced amplitude
Vibration Frequency [Hz]: 55.00
Helium Level [%]: 75.0
Center [mm]: 14.26
Operator Name: Nawaraj

Time [ms]	Field [T]	Moment [emu]	Temp [K]	dMoment [emu]	Kramer
50.00000000	-1.99840000	0.10073207	4.16800000	0.00046170	0.02554762
550.00000000	-1.99340000	0.10046704	4.16800000	0.00087360	0.03512011
1050.00000000	-1.98850000	0.09963039	4.16800000	0.00184912	0.05106393
1550.00000000	-1.98350000	0.09662583	4.16800000	0.00503407	0.08420111
2050.00000000	-1.97840000	0.09074682	4.16800000	0.01111677	0.12504541
2550.00000000	-1.97340000	0.08310050	4.16800000	0.01894070	0.16311795
3050.00000000	-1.96850000	0.07504880	4.16800000	0.02717277	0.19525439
3551.00000000	-1.96340000	0.06764666	4.16800000	0.03478777	0.22078294
4051.00000000	-1.95840000	0.06126356	4.16800000	0.04138089	0.24064413
4552.00000000	-1.95340000	0.05576935	4.16800000	0.04705993	0.25646224
5052.00000000	-1.94830000	0.05091442	4.16800000	0.05208199	0.26962350
5552.00000000	-1.94340000	0.04665727	4.16900000	0.05650226	0.28065544
6053.00000000	-1.93840000	0.04259769	4.16900000	0.06073419	0.29078867
6554.00000000	-1.93340000	0.03871465	4.16900000	0.06482248	0.30022250
7054.00000000	-1.92850000	0.03510985	4.16900000	0.06865077	0.30876469
7554.00000000	-1.92340000	0.03146607	4.16900000	0.07250676	0.31710759
8054.00000000	-1.91840000	0.02797042	4.16900000	0.07621218	0.32489796
8554.00000000	-1.91340000	0.02466451	4.16900000	0.07970323	0.33203922
9055.00000000	-1.90830000	0.02148334	4.16900000	0.08309803	0.33881064
9555.00000000	-1.90340000	0.01848402	4.16800000	0.08631814	0.34509093
10055.00000000	-1.89840000	0.01570183	4.16800000	0.08927237	0.35071591
10555.00000000	-1.89340000	0.01288715	4.16800000	0.09228736	0.35635405
11055.00000000	-1.88830000	0.01019196	4.16800000	0.09520018	0.36169010
11555.00000000	-1.88340000	0.00769367	4.16800000	0.09792304	0.36658787
12055.00000000	-1.87820000	0.00514211	4.16800000	0.10071292	0.37151646
12555.00000000	-1.87340000	0.00274325	4.16800000	0.10330553	0.37602733
13055.00000000	-1.86830000	0.00046262	4.16800000	0.10582006	0.38031693
13556.00000000	-1.86340000	-0.00178779	4.16800000	0.10825556	0.38441616
14056.00000000	-1.85840000	-0.00372063	4.16800000	0.11039947	0.38794333
14556.00000000	-1.85330000	-0.00615996	4.16800000	0.11304463	0.39229376
15056.00000000	-1.84830000	-0.00829274	4.16800000	0.11541063	0.39611020
15556.00000000	-1.84340000	-0.01033946	4.16800000	0.11768068	0.39972147
16056.00000000	-1.83840000	-0.01230565	4.16700000	0.11985793	0.40312839
16557.00000000	-1.83340000	-0.01417884	4.16700000	0.12193227	0.40632509
17057.00000000	-1.82830000	-0.01609038	4.16700000	0.12408002	0.40960268
17557.00000000	-1.82340000	-0.01793564	4.16700000	0.12612792	0.41269205
18057.00000000	-1.81840000	-0.01973286	4.16700000	0.12811701	0.41564806
18558.00000000	-1.81330000	-0.02148723	4.16700000	0.13007717	0.41852168
19058.00000000	-1.80830000	-0.02318961	4.16700000	0.13201050	0.42132949
19558.00000000	-1.80340000	-0.02483347	4.16700000	0.13386013	0.42398319
20058.00000000	-1.79840000	-0.02645648	4.16700000	0.13571502	0.42661442
20558.00000000	-1.79330000	-0.02805620	4.16700000	0.13754131	0.42917045
21058.00000000	-1.78830000	-0.02958437	4.16700000	0.13932189	0.43163809
21558.00000000	-1.78330000	-0.03114640	4.16800000	0.14111488	0.43410272
22059.00000000	-1.77840000	-0.03268759	4.16800000	0.14290106	0.43654104
22560.00000000	-1.77330000	-0.03416378	4.16900000	0.14458308	0.43878754
23060.00000000	-1.76830000	-0.03560884	4.17000000	0.14625966	0.44101287
23561.00000000	-1.76330000	-0.03703570	4.17200000	0.14789725	0.44316108
24061.00000000	-1.75840000	-0.03844430	4.17300000	0.14954482	0.44531272
24562.00000000	-1.75330000	-0.03983737	4.17400000	0.15117037	0.44740146
25062.00000000	-1.74830000	-0.04120707	4.17500000	0.15275177	0.44941454
25563.00000000	-1.74330000	-0.04256111	4.17600000	0.15431659	0.45138731
26063.00000000	-1.73840000	-0.04388414	4.17600000	0.15588003	0.45334900
26563.00000000	-1.73330000	-0.04518625	4.17600000	0.15743679	0.45527264
27063.00000000	-1.72830000	-0.04647018	4.17500000	0.15897312	0.45715833
27564.00000000	-1.72330000	-0.04772283	4.17500000	0.16045428	0.45895054
28064.00000000	-1.71820000	-0.04894960	4.17400000	0.16190970	0.46068584
28564.00000000	-1.71330000	-0.05013991	4.17400000	0.16332588	0.46236597
29064.00000000	-1.70830000	-0.05131987	4.17400000	0.16475629	0.46404707
29564.00000000	-1.70330000	-0.05251536	4.17400000	0.16615637	0.46567325
30064.00000000	-1.69840000	-0.05369790	4.17300000	0.16754256	0.46727503
30564.00000000	-1.69330000	-0.05487009	4.17300000	0.16892826	0.46885076
31064.00000000	-1.68830000	-0.05602920	4.17300000	0.17031889	0.47042871
31564.00000000	-1.68330000	-0.05715200	4.17300000	0.17165076	0.47191442
32064.00000000	-1.67820000	-0.05820714	4.17200000	0.17293456	0.47331669
32565.00000000	-1.67330000	-0.05926235	4.17200000	0.17421564	0.47471945
33065.00000000	-1.66830000	-0.06032792	4.17200000	0.17553491	0.47615712
